======================================================================
REFCOCO+ (spatial forbidden by design)   spatial n=47 of 500
======================================================================
  miss iou=0.00  patch  | guy holding purp umbrella in corner near us  | ['corner', 'near']
  miss iou=0.00  patch  | person in front with white shirt             | ['in front']
  miss iou=0.00  patch  | white shirt middle                           | ['middle']
  miss iou=0.20  patch  | left woman with glasses                      | ['left']
  HIT  iou=0.97  patch  | woman in front                               | ['in front']
  miss iou=0.44  patch  | girl behind guy not the one in red           | ['behind']
  miss iou=0.26  patch  | girl right                                   | ['right']
  miss iou=0.03  patch  | dude in middle                               | ['middle']
  miss iou=0.14  patch  | man furthest to right                        | ['right']
  HIT  iou=0.95  patch  | coach on right side                          | ['right', 'side']
  miss iou=0.14  patch  | far right guy                                | ['far', 'right']
  HIT  iou=0.91  patch  | left guy                                     | ['left']
  miss iou=0.14  patch  | standing chappie far left                    | ['far', 'left']
  HIT  iou=0.91  patch  | far left standing guy                        | ['far', 'left']
  HIT  iou=0.96  patch  | girl on left                                 | ['left']
  HIT  iou=0.96  patch  | girl left in purple                          | ['left']
  miss iou=0.00  patch  | left kid                                     | ['left']
  HIT  iou=0.58  patch  | man right                                    | ['right']
  HIT  iou=0.58  patch  | man on right                                 | ['right']
  HIT  iou=0.96  patch  | right guy                                    | ['right']
  HIT  iou=0.98  patch  | person on left                               | ['left']
  HIT  iou=0.98  patch  | the person on the left                       | ['left']
  HIT  iou=0.96  patch  | left one                                     | ['left']
  miss iou=0.00  patch  | guy closest black shirt                      | ['closest']
  miss iou=0.00  patch  | dude with black shirt on right               | ['right']
  miss iou=0.00  patch  | man second from right                        | ['right']
  miss iou=0.00  patch  | second guy from right                        | ['right']
  miss iou=0.00  patch  | second guy from right                        | ['right']
  miss iou=0.05  patch  | guy in gray sweatshirt to far leftstanding u | ['far']
  miss iou=0.28  patch  | homo on the right                            | ['right']
  miss iou=0.12  patch  | yayyyy nudies in middle                      | ['middle']
  miss iou=0.00  patch  | front and center raising hands               | ['center', 'front']
  miss iou=0.00  patch  | guy black shirt right side                   | ['right', 'side']
  miss iou=0.00  patch  | top right blk shirt                          | ['right', 'top']
  miss iou=0.00  patch  | guy on right top                             | ['right', 'top']
  miss iou=0.18  patch  | plaid shirt guy left side                    | ['left', 'side']
  miss iou=0.00  patch  | checkered shirt in back                      | ['back']
  HIT  iou=0.95  patch  | person on left half out of picture black shi | ['left']
  HIT  iou=0.93  patch  | front woman                                  | ['front']
  HIT  iou=0.97  patch  | woman in back                                | ['back']
  HIT  iou=0.98  patch  | lady in back                                 | ['back']
  miss iou=0.00  error  | person in the back                           | ['back']
  miss iou=0.00  patch  | left guy                                     | ['left']
  HIT  iou=0.95  patch  | girl front and center with boots on          | ['center', 'front']
  miss iou=0.00  patch  | front woman                                  | ['front']
  miss iou=0.02  patch  | person or bag below guy with hands crossed l | ['below', 'left']
  miss iou=0.00  error  | person in hat and black coat in middle on le | ['left', 'middle', 'side']
  miss iou=0.20  patch  | left guy arms crossed                        | ['left']
  miss iou=0.20  patch  | man on left crossing arms                    | ['left']
  miss iou=0.00  patch  | the man on the left side standing behind lug | ['behind', 'left', 'side']
  miss iou=0.00  patch  | middle guy                                   | ['middle']
  HIT  iou=0.61  patch  | man on right                                 | ['right']
  miss iou=0.29  patch  | far right guy                                | ['far', 'right']
  HIT  iou=0.58  patch  | dude right                                   | ['right']
  miss iou=0.03  patch  | right milf                                   | ['right']
  HIT  iou=0.59  patch  | woman on right                               | ['right']
  HIT  iou=0.58  patch  | right player                                 | ['right']
  HIT  iou=0.97  patch  | woman on left                                | ['left']
  HIT  iou=0.96  patch  | left girl                                    | ['left']
  HIT  iou=0.97  patch  | person on left                               | ['left']
  HIT  iou=0.89  patch  | dark butt to the right                       | ['right']
  HIT  iou=0.94  patch  | left girl                                    | ['left']
  HIT  iou=0.94  patch  | girl on left                                 | ['left']
  HIT  iou=0.94  patch  | girl left                                    | ['left']
  miss iou=0.09  patch  | right girl                                   | ['right']
  miss iou=0.09  patch  | girl right                                   | ['right']
  miss iou=0.09  patch  | right kid                                    | ['right']
  HIT  iou=0.84  patch  | right kid                                    | ['right']
  HIT  iou=0.83  patch  | boy on right                                 | ['right']
  miss iou=0.41  patch  | boy far right                                | ['far', 'right']
  miss iou=0.02  patch  | lady on right in black                       | ['right']
  miss iou=0.00  patch  | left woman                                   | ['left']
  miss iou=0.40  patch  | left guy                                     | ['left']
  HIT  iou=0.91  patch  | left man                                     | ['left']
  HIT  iou=0.93  patch  | guy with hands behind him                    | ['behind']
  miss iou=0.00  patch  | person right                                 | ['right']
  HIT  iou=0.92  patch  | man in front of other man                    | ['in front']
  HIT  iou=0.92  patch  | center man                                   | ['center']
  HIT  iou=0.53  patch  | person bending over on left                  | ['left', 'over']
  HIT  iou=0.53  patch  | person to left                               | ['left']
  HIT  iou=0.92  patch  | left person                                  | ['left']
  miss iou=0.00  error  | back cowboy                                  | ['back']
  HIT  iou=0.86  patch  | guy on far right                             | ['far', 'right']
  HIT  iou=0.88  patch  | man on far right                             | ['far', 'right']
  HIT  iou=0.88  patch  | man far right                                | ['far', 'right']
  miss iou=0.38  patch  | woman on the right looking lost              | ['right']
  miss iou=0.00  patch  | second person in from right                  | ['right']
  miss iou=0.00  error  | woman next to man on right side of picture   | ['next to', 'right', 'side']
  HIT  iou=0.90  patch  | lady on right                                | ['right']
  HIT  iou=0.90  patch  | youre prob right lady in purple              | ['right']
  HIT  iou=0.95  patch  | man on left                                  | ['left']
  HIT  iou=0.95  patch  | man on left                                  | ['left']
  HIT  iou=0.78  patch  | pitiful old man on the left                  | ['left']
  miss iou=0.14  patch  | pink top                                     | ['top']
  HIT  iou=0.89  patch  | girl in pink tank top                        | ['top']
  miss iou=0.05  patch  | pink top on horse                            | ['top']
  miss iou=0.00  error  | lady on front horse                          | ['front']
  miss iou=0.00  error  | horse rider closest to us                    | ['closest']
  miss iou=0.08  patch  | house back left                              | ['back', 'left']
  miss iou=0.43  patch  | white horse on right                         | ['right']
  miss iou=0.21  patch  | the horse on the right girl in pink is ridin | ['right']
  miss iou=0.25  patch  | blurry person in back                        | ['back']
  miss iou=0.00  error  | person in back                               | ['back']
  miss iou=0.19  patch  | man with curly hair and black shirt back row | ['back', 'left']
  HIT  iou=0.94  patch  | left bottom person                           | ['left']
  miss iou=0.00  patch  | bottom left curly hair                       | ['left']
  miss iou=0.00  patch  | boy in bottom right corner in blue hoody     | ['corner', 'right']
  miss iou=0.00  patch  | right boy red hair                           | ['right']
  miss iou=0.00  patch  | bottom right blue                            | ['right']
  miss iou=0.00  patch  | middle head at bottom                        | ['middle']
  HIT  iou=0.85  patch  | person head in the middle cut off            | ['middle']
  miss iou=0.00  patch  | middle bottom head                           | ['middle']
  HIT  iou=0.95  patch  | woman on the right                           | ['right']
  HIT  iou=0.94  patch  | lady on right                                | ['right']
  miss iou=0.13  patch  | blue shirt person in back                    | ['back']
  HIT  iou=0.88  patch  | right guy                                    | ['right']
  miss iou=0.04  patch  | guy in gray shirt on left                    | ['left']
  HIT  iou=0.96  patch  | left person                                  | ['left']
